Equipment ID,Type,Site ID,Check-In Date,Check-Out Date,Engine Hours/Day,Idle Hours/Day,Rental Days,Last Operator ID,booking_id
EQX1006,Crane,S005,2025-08-21,2025-08-30,0.7,4.1,9,OP106,BKG1000
EQX1015,Grader,S002,2025-04-22,2025-05-11,6.4,3.6,19,OP103,BKG1001
EQX1013,Grader,S002,2025-09-23,2025-10-02,4.3,4.4,9,OP105,BKG1002
EQX1016,Grader,S002,2026-04-18,2026-04-26,5.3,3.1,8,OP108,BKG1003
EQX1001,Excavator,S001,2025-09-06,2025-09-26,7.0,9.6,20,OP102,BKG1004
EQX1008,Crane,S002,2025-07-27,2025-08-04,4.4,5.9,8,OP104,BKG1005
EQX1009,Bulldozer,S002,2026-02-07,2026-02-17,5.6,3.0,10,OP107,BKG1006
EQX1004,Excavator,,2026-05-23,2026-06-20,7.5,3.2,28,OP103,BKG1007
EQX1007,Crane,S004,2025-01-06,2025-01-31,1.3,10.5,25,OP106,BKG1008
EQX1013,Grader,S001,2025-04-16,2025-05-03,6.7,1.8,17,OP106,BKG1009
EQX1001,Excavator,S003,2026-01-21,2026-01-30,7.5,2.7,9,OP105,BKG1010
EQX1014,Grader,S002,2025-05-12,2025-06-11,4.1,2.6,30,OP107,BKG1011
EQX1002,Excavator,S003,2025-07-08,2025-07-18,6.7,5.4,10,OP105,BKG1012
EQX1015,Grader,S001,2026-05-11,2026-05-26,5.0,2.3,15,OP101,BKG1013
EQX1005,Crane,S003,2025-05-13,2025-06-11,3.5,4.3,29,OP102,BKG1014
EQX1008,Crane,S002,2025-12-09,2026-01-08,1.4,5.0,30,OP101,BKG1015
EQX1006,Crane,S005,2025-06-19,2025-07-02,3.9,5.7,13,OP107,BKG1016
EQX1006,Crane,S002,2026-06-03,2026-06-26,0.0,6.2,23,OP102,BKG1017
EQX1015,Grader,S004,2026-04-24,2026-05-16,5.5,5.1,22,OP104,BKG1018
EQX1002,Excavator,S002,2025-03-18,2025-04-12,8.1,3.8,25,OP101,BKG1019
EQX1001,Excavator,S003,2025-03-04,2025-03-30,5.4,1.4,26,OP102,BKG1020
EQX1005,Crane,S001,2025-11-10,2025-11-20,0.0,6.3,10,OP108,BKG1021
EQX1004,Excavator,S005,2025-09-14,2025-09-24,3.9,2.7,10,,BKG1022
EQX1013,Grader,S002,2025-10-09,2025-10-22,6.8,3.7,13,OP101,BKG1023
EQX1007,Crane,S001,2025-10-04,2025-10-26,2.9,7.8,22,OP106,BKG1024
EQX1002,Excavator,S002,2026-06-03,2026-06-15,0.0,5.1,12,OP101,BKG1025
EQX1016,Grader,S002,2026-05-23,2026-06-03,6.0,3.3,11,OP108,BKG1026
EQX1014,Grader,S001,2026-07-07,2026-07-26,4.0,7.5,19,OP101,BKG1027
EQX1012,Bulldozer,S005,2026-04-25,2026-05-07,7.3,4.6,12,OP108,BKG1028
EQX1014,Grader,S002,2026-01-21,2026-02-18,7.3,3.7,28,OP101,BKG1029
EQX1002,Excavator,S001,2025-06-26,2025-07-04,6.3,7.1,8,OP107,BKG1030
EQX1014,Grader,S002,2026-06-17,2026-06-30,0.2,22.9,13,OP103,BKG1031
EQX1006,Crane,S001,2025-04-14,2025-04-25,0.0,6.6,11,OP102,BKG1032
EQX1016,Grader,,2026-03-14,2026-03-31,5.1,3.0,17,OP102,BKG1033
EQX1016,Grader,S001,2025-04-20,2025-05-10,4.9,3.2,20,OP108,BKG1034
EQX1009,Bulldozer,S005,2026-02-14,2026-03-05,6.2,3.5,19,OP103,BKG1035
EQX1008,Crane,S001,2026-01-15,2026-02-08,3.3,8.5,24,OP102,BKG1036
EQX1012,Bulldozer,S002,2026-05-26,2026-06-17,7.4,3.7,22,OP107,BKG1037
EQX1011,Bulldozer,S002,2026-05-23,2026-06-07,5.7,2.0,15,OP105,BKG1038
EQX1011,Bulldozer,S003,2025-08-11,2025-09-10,5.2,6.1,30,OP107,BKG1039
EQX1013,Grader,S004,2026-04-07,2026-05-07,4.1,3.1,30,OP101,BKG1040
EQX1016,Grader,S002,2026-05-04,2026-06-02,6.4,3.9,29,OP102,BKG1041
EQX1013,Grader,S001,2025-04-08,2025-04-27,5.2,3.7,19,OP101,BKG1042
EQX1006,Crane,S003,2025-11-02,2025-11-28,3.4,6.1,26,OP104,BKG1043
EQX1013,Grader,S001,2025-02-23,2025-03-23,8.0,5.1,28,OP102,BKG1044
EQX1012,Bulldozer,S002,2025-02-12,2025-03-13,5.7,3.7,29,OP105,BKG1045
EQX1007,Crane,S001,2026-07-02,2026-07-29,3.5,13.9,27,OP107,BKG1046
EQX1003,Excavator,S004,2026-01-22,2026-02-15,6.2,5.6,24,OP102,BKG1047
EQX1010,Bulldozer,S002,2025-09-24,2025-10-17,7.4,2.1,23,OP106,BKG1048
EQX1002,Excavator,S002,2025-08-13,2025-08-28,7.5,2.7,15,OP103,BKG1049
EQX1002,Excavator,S002,2026-02-11,2026-03-09,7.2,4.7,26,OP108,BKG1050
EQX1015,Grader,S004,2025-10-09,2025-10-27,6.5,3.2,18,OP106,BKG1051
EQX1002,Excavator,S004,2025-06-18,2025-06-25,7.4,2.8,7,OP102,BKG1052
EQX1014,Grader,S004,2025-03-17,2025-04-06,3.6,3.4,20,OP101,BKG1053
EQX1010,Bulldozer,S003,2026-05-26,2026-06-12,6.2,0.5,17,OP107,BKG1054
EQX1009,Bulldozer,S001,2025-11-07,2025-11-26,6.2,3.7,19,OP105,BKG1055
EQX1015,Grader,S003,2025-09-16,2025-10-10,6.0,7.2,24,OP107,BKG1056
EQX1012,Bulldozer,S001,2026-07-17,2026-08-11,8.8,6.6,25,OP101,BKG1057
EQX1007,Crane,S003,2026-04-12,2026-05-06,3.3,3.8,24,OP103,BKG1058
EQX1005,Crane,S001,2025-07-10,2025-08-09,4.2,13.9,30,OP102,BKG1059
EQX1016,Grader,S005,2025-10-20,2025-11-04,6.5,2.5,15,OP107,BKG1060
EQX1015,Grader,S005,2026-03-27,2026-04-13,8.3,4.7,17,OP101,BKG1061
EQX1014,Grader,S004,2025-11-04,2025-11-24,7.1,1.9,20,OP101,BKG1062
EQX1010,Bulldozer,S002,2025-09-08,2025-09-15,7.6,2.8,7,OP103,BKG1063
EQX1002,Excavator,S005,2026-07-03,2026-07-26,7.1,3.7,23,OP103,BKG1064
EQX1004,Excavator,S003,2026-02-27,2026-03-20,0.0,3.5,21,OP101,BKG1065
EQX1012,Bulldozer,S004,2025-04-07,2025-05-03,6.5,3.0,26,OP102,BKG1066
EQX1013,Grader,S001,2025-01-01,2025-01-27,3.9,2.0,26,OP105,BKG1067
EQX1003,Excavator,S004,2025-02-23,2025-03-25,6.7,6.5,30,OP108,BKG1068
EQX1008,Crane,S002,2025-02-23,2025-03-04,2.9,7.4,9,OP101,BKG1069
EQX1013,Grader,S004,2025-04-23,2025-05-01,5.1,4.3,8,OP102,BKG1070
EQX1010,Bulldozer,S001,2025-12-27,2026-01-04,7.6,2.4,8,OP105,BKG1071
EQX1005,Crane,S001,2025-05-20,2025-06-14,1.7,5.3,25,OP102,BKG1072
EQX1012,Bulldozer,S001,2025-11-18,2025-11-30,6.6,1.0,12,OP108,BKG1073
EQX1015,Grader,S005,2026-01-19,2026-01-29,5.3,5.9,10,OP102,BKG1074
EQX1005,Crane,S001,2025-04-13,2025-05-12,4.3,5.2,29,OP103,BKG1075
EQX1006,Crane,S002,2025-08-18,2025-09-14,0.0,4.9,27,OP102,BKG1076
EQX1012,Bulldozer,S002,2025-09-12,2025-09-21,7.4,2.1,9,OP105,BKG1077
EQX1013,Grader,S002,2026-01-18,2026-01-30,0.0,2.4,12,OP107,BKG1078
EQX1015,Grader,S003,2025-07-17,2025-08-12,5.6,6.2,26,OP106,BKG1079
EQX1006,Crane,S004,2025-10-14,2025-10-26,2.0,6.7,12,OP103,BKG1080
EQX1001,Excavator,S002,2025-06-02,2025-06-20,7.6,1.2,18,OP102,BKG1081
EQX1009,Bulldozer,S005,2026-05-01,2026-05-17,8.1,2.3,16,OP103,BKG1082
EQX1008,Crane,S005,2025-07-04,2025-07-12,3.5,5.4,8,OP108,BKG1083
EQX1008,Crane,S003,2025-08-20,2025-09-04,0.0,9.9,15,OP101,BKG1084
EQX1014,Grader,S005,2026-05-05,2026-06-03,4.4,5.5,29,OP105,BKG1085
EQX1002,Excavator,S002,2025-09-04,2025-09-18,6.7,3.3,14,OP101,BKG1086
EQX1002,Excavator,S001,2025-04-13,2025-04-25,7.0,1.4,12,OP108,BKG1087
EQX1003,Excavator,S003,2025-09-08,2025-09-08,5.6,3.1,0,OP104,BKG1088
EQX1013,Grader,S003,2026-01-23,2026-02-08,5.3,3.7,16,OP106,BKG1089
EQX1011,Bulldozer,S002,2025-10-10,2025-11-08,7.7,2.8,29,OP107,BKG1090
EQX1016,Grader,S005,2025-10-24,2025-11-07,4.3,1.2,14,OP105,BKG1091
EQX1002,Excavator,S001,2025-10-14,2025-10-21,6.9,3.1,7,OP104,BKG1092
EQX1001,Excavator,S002,2025-07-05,2025-07-18,5.7,3.5,13,OP101,BKG1093
EQX1003,Excavator,S001,2025-11-09,2025-11-25,5.4,3.2,16,OP103,BKG1094
EQX1010,Bulldozer,S003,2025-12-27,2026-01-26,7.4,0.1,30,OP107,BKG1095
EQX1007,Crane,S005,2026-04-27,2026-05-05,5.4,6.6,8,OP101,BKG1096
EQX1007,Crane,S005,2026-07-18,2026-07-28,0.0,4.3,10,OP103,BKG1097
EQX1011,Bulldozer,S005,2025-09-21,2025-10-18,4.9,2.5,27,OP104,BKG1098
EQX1009,Bulldozer,S003,2025-03-22,2025-04-10,7.6,2.3,19,OP107,BKG1099
EQX1015,Grader,S001,2025-08-01,2025-08-16,5.8,7.3,15,OP101,BKG1100
EQX1005,Crane,S004,2026-06-21,2026-07-07,3.3,5.4,16,OP107,BKG1101
EQX1011,Bulldozer,S003,2025-01-24,2025-02-06,7.6,2.0,13,OP106,BKG1102
EQX1009,Bulldozer,S002,2026-02-25,2026-03-13,8.9,5.0,16,OP107,BKG1103
EQX1013,Grader,S002,2025-11-09,2025-11-18,5.3,2.4,9,OP103,BKG1104
EQX1001,Excavator,S004,2025-07-03,2025-07-20,9.0,3.2,17,OP107,BKG1105
EQX1009,Bulldozer,S003,2025-04-12,2025-04-23,5.5,0.0,11,OP108,BKG1106
EQX1001,Excavator,S003,2026-06-11,2026-06-26,8.5,3.7,15,OP102,BKG1107
EQX1004,Excavator,S002,2025-01-06,2025-02-05,8.0,2.7,30,OP106,BKG1108
EQX1011,Bulldozer,S003,2026-04-26,2026-05-26,6.9,0.0,30,OP103,BKG1109
EQX1004,Excavator,S003,2026-06-09,2026-07-09,7.4,5.1,30,OP106,BKG1110
EQX1014,Grader,S002,2025-06-09,2025-06-20,8.4,3.9,11,OP102,BKG1111
EQX1005,Crane,S002,2026-04-22,2026-05-19,4.5,5.5,27,OP104,BKG1112
EQX1014,Grader,S001,2026-04-25,2026-05-06,0.0,3.0,11,OP105,BKG1113
EQX1006,Crane,S002,2025-10-26,2025-11-05,0.0,5.2,10,OP101,BKG1114
EQX1004,Excavator,S002,2025-03-07,2025-03-20,7.8,2.8,13,OP105,BKG1115
EQX1015,Grader,S001,2025-08-04,2025-09-01,4.4,9.3,28,OP106,BKG1116
EQX1004,Excavator,S001,2025-08-11,2025-08-24,5.3,7.5,13,OP101,BKG1117
EQX1003,Excavator,S002,2025-09-14,2025-09-30,6.1,2.0,16,OP104,BKG1118
EQX1012,Bulldozer,S002,2025-07-08,2025-08-05,5.9,4.0,28,OP104,BKG1119
EQX1005,Crane,S001,2026-07-09,2026-07-27,0.2,22.3,18,OP104,BKG1120
EQX1001,Excavator,S001,2026-06-04,2026-07-03,7.5,5.9,29,OP102,BKG1121
EQX1015,Grader,S003,2025-06-17,2025-06-29,3.3,5.7,12,OP105,BKG1122
EQX1004,Excavator,S001,2025-12-24,2026-01-21,5.4,3.0,28,OP107,BKG1123
EQX1012,Bulldozer,S003,2025-09-25,2025-10-23,8.4,3.1,28,,BKG1124
EQX1007,Crane,S003,2026-05-09,2026-05-23,0.0,4.3,14,OP102,BKG1125
EQX1001,Excavator,S001,2025-07-01,2025-07-24,5.0,9.2,23,OP102,BKG1126
EQX1002,Excavator,S005,2025-07-20,2025-07-30,6.5,3.2,10,OP105,BKG1127
EQX1001,Excavator,S003,2025-05-19,2025-05-28,6.4,1.7,9,OP108,BKG1128
EQX1005,Crane,S001,2025-11-27,2025-12-17,3.1,5.8,20,OP108,BKG1129
EQX1006,Crane,S003,2025-02-08,2025-02-18,0.0,4.2,10,OP103,BKG1130
EQX1014,Grader,S005,2025-06-17,2025-07-14,4.5,2.8,27,OP103,BKG1131
EQX1007,Crane,S004,2026-02-11,2026-03-08,2.8,9.6,25,OP105,BKG1132
EQX1003,Excavator,S004,2025-01-14,2025-01-29,5.9,4.8,15,OP105,BKG1133
EQX1014,Grader,S004,2025-08-25,2025-09-12,4.1,3.0,18,OP102,BKG1134
EQX1014,Grader,S005,2026-06-06,2026-06-18,3.0,2.0,12,OP102,BKG1135
EQX1012,Bulldozer,S003,2025-08-24,2025-09-02,3.8,4.4,9,OP106,BKG1136
EQX1010,Bulldozer,S005,2025-04-16,2025-05-09,5.9,2.9,23,OP107,BKG1137
EQX1014,Grader,S001,2026-04-06,2026-04-18,5.5,5.3,12,OP108,BKG1138
EQX1004,Excavator,S002,2025-08-24,2025-09-08,7.5,2.3,15,OP105,BKG1139
EQX1003,Excavator,S002,2026-07-17,2026-07-25,6.5,3.3,8,OP102,BKG1140
EQX1016,Grader,S004,2025-05-04,2025-05-12,6.3,2.5,8,OP103,BKG1141
EQX1014,Grader,S005,2026-04-03,2026-04-18,6.5,3.2,15,OP103,BKG1142
EQX1014,Grader,S002,2025-09-15,2025-09-25,4.3,4.2,10,OP101,BKG1143
EQX1012,Bulldozer,S001,2025-09-18,2025-09-30,6.7,6.1,12,OP103,BKG1144
EQX1012,Bulldozer,S005,2026-06-24,2026-07-15,5.6,1.7,21,OP108,BKG1145
EQX1016,Grader,S003,2025-07-04,2025-07-21,3.5,4.8,17,OP101,BKG1146
EQX1005,Crane,S002,2025-05-15,2025-06-01,4.3,5.3,17,OP102,BKG1147
EQX1013,Grader,S002,2025-08-08,2025-08-17,5.3,5.1,9,OP107,BKG1148
EQX1001,Excavator,S005,2025-04-26,2025-05-20,6.6,2.8,24,OP101,BKG1149
EQX1010,Bulldozer,S002,2025-08-05,2025-08-16,8.2,3.7,11,OP102,BKG1150
EQX1012,Bulldozer,S003,2025-07-24,2025-08-17,4.7,3.7,24,OP102,BKG1151
EQX1007,Crane,S004,2026-06-26,2026-07-10,5.3,5.8,14,OP105,BKG1152
EQX1013,Grader,S001,2025-04-12,2025-04-23,6.9,5.1,11,OP108,BKG1153
EQX1008,Crane,S002,2025-10-05,2025-10-15,4.1,6.9,10,OP103,BKG1154
EQX1006,Crane,S002,2025-12-09,2026-01-08,2.6,6.3,30,OP104,BKG1155
EQX1004,Excavator,S003,2026-04-23,2026-05-20,7.1,0.6,27,OP102,BKG1156
EQX1012,Bulldozer,S004,2025-07-02,2025-07-24,7.0,2.9,22,OP105,BKG1157
EQX1002,Excavator,S002,2026-07-06,2026-07-19,6.5,1.6,13,OP106,BKG1158
EQX1011,Bulldozer,S002,2025-03-08,2025-04-03,6.7,2.4,26,OP102,BKG1159
EQX1006,Crane,S002,2026-07-11,2026-07-27,4.3,5.6,16,OP106,BKG1160
EQX1005,Crane,S002,2026-07-13,2026-08-02,0.0,6.4,20,OP102,BKG1161
EQX1004,Excavator,S004,2026-06-13,2026-06-26,6.1,2.5,13,OP108,BKG1162
EQX1010,Bulldozer,S002,2026-07-09,2026-08-02,6.9,2.9,24,OP106,BKG1163
EQX1004,Excavator,S005,2025-10-20,2025-11-03,6.4,1.4,14,OP104,BKG1164
EQX1001,Excavator,S001,2025-08-12,2025-09-07,7.3,7.1,26,OP101,BKG1165
EQX1007,Crane,S002,2025-01-18,2025-02-13,0.0,4.3,26,OP102,BKG1166
EQX1007,Crane,S002,2025-04-19,2025-05-14,3.7,6.3,25,OP102,BKG1167
EQX1005,Crane,S004,2025-10-06,2025-10-31,0.4,6.0,25,OP108,BKG1168
EQX1015,Grader,S002,2026-07-09,2026-07-26,6.1,3.0,17,OP106,BKG1169
EQX1011,Bulldozer,S002,2025-12-24,2026-01-04,7.8,1.5,11,OP108,BKG1170
EQX1005,Crane,S003,2025-09-15,2025-10-11,2.0,9.1,26,OP103,BKG1171
EQX1015,Grader,S004,2026-07-23,2026-08-22,5.6,5.9,30,OP107,BKG1172
EQX1004,Excavator,S003,2025-06-13,2025-07-05,6.6,5.2,22,OP103,BKG1173
EQX1015,Grader,S004,2025-05-12,2025-05-25,4.7,3.4,13,OP107,BKG1174
EQX1001,Excavator,S004,2026-05-10,2026-05-22,6.3,1.9,12,OP102,BKG1175
EQX1005,Crane,S002,2026-07-11,2026-08-09,4.6,8.8,29,OP102,BKG1176
EQX1007,Crane,S001,2025-03-27,2025-04-17,3.1,6.1,21,OP107,BKG1177
EQX1003,Excavator,S001,2026-05-04,2026-05-14,5.8,3.0,10,OP104,BKG1178
EQX1004,Excavator,S005,2026-01-19,2026-01-26,6.4,6.4,7,OP108,BKG1179
EQX1007,Crane,S002,2026-07-20,2026-08-03,3.7,6.6,14,OP104,BKG1180
EQX1001,Excavator,S004,2026-04-10,2026-05-08,8.1,3.8,28,OP107,BKG1181
EQX1009,Bulldozer,S003,2026-05-21,2026-06-02,7.1,1.6,12,OP108,BKG1182
EQX1015,Grader,S003,2025-04-03,2025-04-16,6.0,2.1,13,OP101,BKG1183
EQX1001,Excavator,S001,2026-04-12,2026-04-27,8.6,2.9,15,OP106,BKG1184
EQX1015,Grader,S004,2026-06-04,2026-06-24,4.7,4.9,20,OP105,BKG1185
EQX1015,Grader,S002,2026-04-11,2026-04-25,5.4,3.5,14,OP107,BKG1186
EQX1008,Crane,S002,2025-07-13,2025-08-04,0.0,6.7,22,OP102,BKG1187
EQX1015,Grader,S004,2025-05-05,2025-05-13,6.7,3.8,8,OP104,BKG1188
EQX1001,Excavator,S002,2025-09-18,2025-09-29,8.3,0.5,11,OP108,BKG1189
EQX1005,Crane,S003,2025-05-06,2025-06-04,1.2,2.6,29,OP103,BKG1190
EQX1008,Crane,S001,2026-03-23,2026-04-11,1.6,4.1,19,OP101,BKG1191
EQX1013,Grader,S004,2026-04-12,2026-04-27,5.7,3.9,15,OP105,BKG1192
EQX1015,Grader,S003,2025-07-15,2025-08-06,6.3,5.6,22,OP106,BKG1193
EQX1003,Excavator,S003,2026-06-06,2026-07-01,6.3,6.3,25,OP102,BKG1194
EQX1007,Crane,S001,2026-07-13,2026-07-28,5.4,13.8,15,OP102,BKG1195
EQX1005,Crane,S002,2025-03-06,2025-03-15,3.5,5.9,9,OP104,BKG1196
EQX1002,Excavator,S001,2025-07-09,2025-07-28,6.9,8.4,19,OP103,BKG1197
EQX1004,Excavator,S005,2026-06-06,2026-06-29,4.8,1.5,23,OP101,BKG1198
EQX1008,Crane,S005,2025-04-17,2025-05-17,4.5,8.2,30,OP107,BKG1199
EQX1001,Excavator,S002,2025-08-02,2025-08-20,7.2,3.6,18,OP108,BKG1200
EQX1007,Crane,S003,2026-07-05,2026-07-24,0.3,9.7,19,OP104,BKG1201
EQX1002,Excavator,S002,2025-04-16,2025-04-28,8.4,4.3,12,OP102,BKG1202
EQX1003,Excavator,S002,2025-07-16,2025-08-02,6.6,2.6,17,OP104,BKG1203
EQX1006,Crane,S002,2025-08-26,2025-09-08,4.8,5.2,13,OP104,BKG1204
EQX1003,Excavator,S002,2025-07-15,2025-07-23,8.6,2.5,8,OP104,BKG1205
EQX1014,Grader,S002,2025-08-20,2025-09-14,5.4,3.4,25,OP105,BKG1206
EQX1009,Bulldozer,S003,2026-07-23,2026-08-01,8.8,5.4,9,OP106,BKG1207
EQX1013,Grader,S003,2026-07-11,2026-08-10,4.8,7.2,30,OP101,BKG1208
EQX1008,Crane,S004,2025-01-16,2025-01-26,0.0,11.6,10,OP107,BKG1209
